0;26;23;6;5;23;0;0
1;25;29;6;5;23;0;0
2;24;35;6;5;23;0;0
3;23;41;6;5;23;0;0
4;22;47;6;5;23;0;0
5;21;53;6;5;23;1;0
6;20;59;6;5;23;1;0
7;19;65;6;5;23;0;1
8;NIC;71;6;5;23;3;0
9;INVALID;5;31;5;23;3;0
10;1;11;31;5;23;3;0
11;2;17;31;5;23;3;0
12;3;23;31;5;23;4;0
13;4;29;31;5;23;5;0
14;5;35;31;5;23;5;0
15;6;41;31;5;23;5;0
16;7;47;31;5;23;5;0
17;8;53;31;5;23;5;0
18;9;59;31;5;23;10;0
19;10;65;31;5;23;6;0
20;NIC;71;31;5;23;10;0
21;11;29;56;5;23;6;0
22;12;35;56;5;23;10;0
23;13;41;56;5;23;10;0
24;14;47;56;5;23;7;0
25;15;53;56;5;23;8;0
26;16;59;56;5;23;8;0
27;17;65;56;5;23;9;0
28;18;71;56;5;23;3;0
